GEO_ID,snow depth,% below poverty,% civilian unemployed,% capita income,% no high school,% 65 older,% 17 younger,% household disability,% single parent household,% minority,% not well english,% multi unit,% mobile homes,% crowding,% no vehicle,% group quarters,historical requests,neighbor historical request,Lon,Lat,311_requests
360299800001,164.6396365,0,0.087628866,4494,0,0,0.025767544,0,0,0.670504386,0,0,0,0,0,1,0.003837719,0.114875414,325494,325913,0
360299805001,139.546979,0.142857143,0,6786,0.123076923,0.035128806,0.035128806,0,0,0.571428571,0,0,0,0,0,0.964871194,0.012880562,0.129963733,331141,328130,0
360290071044,190.1249825,0.637096774,0.166666667,11913,0.341346154,0.05577957,0.302419355,0.540952381,0.639722864,0.959005376,0.233853007,0.393728223,0,0.07047619,0.403809524,0,0.034946237,0.037469355,324919,321303,0
360290031004,190.4818889,0.595825427,0.123966942,14560,0.105140187,0.1,0.221818182,0.159021407,1,0.889090909,0,0.758409786,0,0,0.828746177,0.085454545,0.06,0.148578627,326885,322132,0
360290067024,177.4468042,0.112866817,0,30386,0.112866817,0.216704289,0,0.139037433,0,0.571106095,0,0.708494208,0,0.018716578,0.42513369,0,0.06772009,0.121151148,326190,322493,0
360290070001,170.7355681,0.117124394,0.042674253,25704,0.18469657,0.092084006,0.298061389,0.24726477,0.104651163,0.710016155,0.073272273,0.052631579,0,0,0.168490153,0,0.105815832,0.137792691,324053,323163,0
360290058012,135.7124673,0.230499562,0.047091413,22140,0.191435768,0.126205083,0.231375986,0.365630713,0.367768595,0.56266433,0.056657224,0.19579288,0,0.016453382,0.405850091,0.000876424,0.093777388,0.130978634,324017,329081,0
360290058024,137.3770587,0.289237668,0.037433155,16193,0.288088643,0.052729298,0.375789083,0.617177914,0.356926188,0.718158188,0.152073733,0.030989273,0,0,0.309202454,0.001856665,0.046787969,0.145955726,324257,328537,0
360290065012,175.0691757,0.166498486,0.078988942,42869,0.014066496,0.110998991,0.19778002,0.144869215,0.581632653,0.136226034,0,0.018108652,0,0.068410463,0.044265594,0,0.14530777,0.179354592,325629,324085,0
360290071032,186.0174974,0.799375488,0.101754386,10758,0.19394773,0.07496136,0.404173107,0.439121756,0.247058824,0.887171561,0.219512195,0.082061069,0,0.157684631,0.568862275,0,0.022411128,0.090739933,324779,321681,0
360290067023,181,0.344916345,0.04,33144,0.116554054,0.19047619,0.023166023,0.271794872,1,0.567567568,0,0.881516588,0,0,0.201709402,0,0.066924067,0.124482093,326539,322484,0
360290072021,195.3291178,0.181698486,0.101651842,59234,0.074103586,0.252139566,0.115207373,0.294520548,0.806451613,0.599736669,0.088394062,0.798429319,0,0.061643836,0.260273973,0,0.048716261,0.104156838,324822,320613,0
